,created_at,id,id_str,text,display_text_range,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,quote_count,reply_count,retweet_count,favorite_count,entities,extended_entities,favorited,retweeted,possibly_sensitive,filter_level,lang,timestamp_ms,retweeted_status,extended_tweet,quoted_status_id,quoted_status_id_str,quoted_status,quoted_status_permalink,delete
36,2019-05-22 12:23:03+00:00,1.1311736252588155e+18,1.1311736252588155e+18,@Pelusitaaaa1 Hoi!  Enkel KLM/Air France-vluchten of vluchten met partners onder een KL vluchtnummer kunnen aan de… https://t.co/qpZ3JXND4B,"[14, 140]","<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>",1.0,1.1311713636733174e+18,1.1311713636733174e+18,3110268790.0,3110268790.0,Pelusitaaaa1,"{'id': 56377143, 'id_str': '56377143', 'name': 'Royal Dutch Airlines', 'screen_name': 'KLM', 'location': 'Amsterdam, the Netherlands', 'url': 'http://www.klm.com', 'description': ""Official global account of KLM. While we keep you updated, we're at your service in 10 languages. Share personal details only in direct messages!"", 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 2336092, 'friends_count': 65146, 'listed_count': 6763, 'favourites_count': 641, 'statuses_count': 1037609, 'created_at': 'Mon Jul 13 13:52:38 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '00A3DE', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'C2DEEA', 'profile_text_color': '003145', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/56377143/1513267634', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0.0,0.0,0.0,0.0,0.0,"{'hashtags': [], 'urls': [{'url': 'https://t.co/qpZ3JXND4B', 'expanded_url': 'https://twitter.com/i/web/status/1131173625258815488', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}], 'user_mentions': [{'screen_name': 'Pelusitaaaa1', 'name': 'Pluis', 'id': 3110268790, 'id_str': '3110268790', 'indices': [0, 13]}], 'symbols': []}",,0.0,0.0,,low,nl,2019-05-22 12:23:03.108,,"{'full_text': '@Pelusitaaaa1 Hoi!  Enkel KLM/Air France-vluchten of vluchten met partners onder een KL vluchtnummer kunnen aan de KLM App worden toegevoegd.', 'display_text_range': [14, 141], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Pelusitaaaa1', 'name': 'Pluis', 'id': 3110268790, 'id_str': '3110268790', 'indices': [0, 13]}], 'symbols': []}}",,,,,
635,2019-05-22 13:09:16+00:00,1.1311852592892068e+18,1.1311852592892068e+18,@Pelusitaaaa1 We helpen je graag. Kan je ons een DM sturen zodat we je daar om meer gegevens kunnen vragen?,"[14, 107]","<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>",0.0,1.1311830432412303e+18,1.1311830432412303e+18,3110268790.0,3110268790.0,Pelusitaaaa1,"{'id': 56377143, 'id_str': '56377143', 'name': 'Royal Dutch Airlines', 'screen_name': 'KLM', 'location': 'Amsterdam, the Netherlands', 'url': 'http://www.klm.com', 'description': ""Official global account of KLM. While we keep you updated, we're at your service in 10 languages. Share personal details only in direct messages!"", 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 2336090, 'friends_count': 65146, 'listed_count': 6762, 'favourites_count': 641, 'statuses_count': 1037610, 'created_at': 'Mon Jul 13 13:52:38 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '00A3DE', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'C2DEEA', 'profile_text_color': '003145', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/56377143/1513267634', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0.0,0.0,0.0,0.0,0.0,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Pelusitaaaa1', 'name': 'Pluis', 'id': 3110268790, 'id_str': '3110268790', 'indices': [0, 13]}], 'symbols': []}",,0.0,0.0,,low,nl,2019-05-22 13:09:16.877,,,,,,,
785,2019-05-22 13:20:05+00:00,1.1311879787710259e+18,1.1311879787710259e+18,@addblackman We understand that you would prefer to have your baggage with you on board. Our colleagues at the airp… https://t.co/FbSdhuCa16,"[13, 140]","<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>",1.0,1.1311824743804232e+18,1.1311824743804232e+18,1604219274.0,1604219274.0,addblackman,"{'id': 56377143, 'id_str': '56377143', 'name': 'Royal Dutch Airlines', 'screen_name': 'KLM', 'location': 'Amsterdam, the Netherlands', 'url': 'http://www.klm.com', 'description': ""Official global account of KLM. While we keep you updated, we're at your service in 10 languages. Share personal details only in direct messages!"", 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 2336092, 'friends_count': 65146, 'listed_count': 6762, 'favourites_count': 641, 'statuses_count': 1037611, 'created_at': 'Mon Jul 13 13:52:38 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '00A3DE', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'C2DEEA', 'profile_text_color': '003145', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/56377143/1513267634', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0.0,0.0,0.0,0.0,0.0,"{'hashtags': [], 'urls': [{'url': 'https://t.co/FbSdhuCa16', 'expanded_url': 'https://twitter.com/i/web/status/1131187978771025921', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': 'addblackman', 'name': 'Add Blackman', 'id': 1604219274, 'id_str': '1604219274', 'indices': [0, 12]}], 'symbols': []}",,0.0,0.0,,low,en,2019-05-22 13:20:05.252,,"{'full_text': '@addblackman We understand that you would prefer to have your baggage with you on board. Our colleagues at the airport may request that your hand baggage will be transported in the hold, due to the available space and the amount of hand baggage on board, for example.&gt;&gt;&gt;', 'display_text_range': [13, 279], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'addblackman', 'name': 'Add Blackman', 'id': 1604219274, 'id_str': '1604219274', 'indices': [0, 12]}], 'symbols': []}}",,,,,
788,2019-05-22 13:20:17+00:00,1.1311880285281075e+18,1.1311880285281075e+18,@CarlosMosig Con el fin de evitar errores nosotros volvemos a redirigirte al centro de llamadas local debido a que… https://t.co/3zeM6EM07N,"[13, 140]","<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>",1.0,1.1311830804741243e+18,1.1311830804741243e+18,8.794935390122967e+17,8.794935390122967e+17,CarlosMosig,"{'id': 56377143, 'id_str': '56377143', 'name': 'Royal Dutch Airlines', 'screen_name': 'KLM', 'location': 'Amsterdam, the Netherlands', 'url': 'http://www.klm.com', 'description': ""Official global account of KLM. While we keep you updated, we're at your service in 10 languages. Share personal details only in direct messages!"", 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 2336092, 'friends_count': 65146, 'listed_count': 6762, 'favourites_count': 641, 'statuses_count': 1037612, 'created_at': 'Mon Jul 13 13:52:38 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '00A3DE', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'C2DEEA', 'profile_text_color': '003145', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/56377143/1513267634', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0.0,0.0,0.0,0.0,0.0,"{'hashtags': [], 'urls': [{'url': 'https://t.co/3zeM6EM07N', 'expanded_url': 'https://twitter.com/i/web/status/1131188028528107521', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}], 'user_mentions': [{'screen_name': 'CarlosMosig', 'name': 'Carlos Mosig', 'id': 879493539012296704, 'id_str': '879493539012296704', 'indices': [0, 12]}], 'symbols': []}",,0.0,0.0,,low,es,2019-05-22 13:20:17.115,,"{'full_text': '@CarlosMosig Con el fin de evitar errores nosotros volvemos a redirigirte al centro de llamadas local debido a que ha sido por esa via donde se han hecho las ultimas modificaciones en tu pasaje.', 'display_text_range': [13, 194], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'CarlosMosig', 'name': 'Carlos Mosig', 'id': 879493539012296704, 'id_str': '879493539012296704', 'indices': [0, 12]}], 'symbols': []}}",,,,,
791,2019-05-22 13:20:31+00:00,1.1311880893287342e+18,1.1311880893287342e+18,"@addblackman We do understand that some passengers do not like this, so we usually look for volunteers first. In ca… https://t.co/RQmvt97gHa","[13, 140]","<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>",1.0,1.1311824743804232e+18,1.1311824743804232e+18,1604219274.0,1604219274.0,addblackman,"{'id': 56377143, 'id_str': '56377143', 'name': 'Royal Dutch Airlines', 'screen_name': 'KLM', 'location': 'Amsterdam, the Netherlands', 'url': 'http://www.klm.com', 'description': ""Official global account of KLM. While we keep you updated, we're at your service in 10 languages. Share personal details only in direct messages!"", 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 2336092, 'friends_count': 65146, 'listed_count': 6762, 'favourites_count': 641, 'statuses_count': 1037613, 'created_at': 'Mon Jul 13 13:52:38 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '00A3DE', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'C2DEEA', 'profile_text_color': '003145', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/56377143/1513267634', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0.0,0.0,0.0,0.0,0.0,"{'hashtags': [], 'urls': [{'url': 'https://t.co/RQmvt97gHa', 'expanded_url': 'https://twitter.com/i/web/status/1131188089328734209', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': 'addblackman', 'name': 'Add Blackman', 'id': 1604219274, 'id_str': '1604219274', 'indices': [0, 12]}], 'symbols': []}",,0.0,0.0,,low,en,2019-05-22 13:20:31.611,,"{'full_text': '@addblackman We do understand that some passengers do not like this, so we usually look for volunteers first. In case we have no (sufficient) volunteers, it is possible that passengers travelling with large bags (which do not fit under the seats) are designated.&gt;&gt;&gt;', 'display_text_range': [13, 274], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'addblackman', 'name': 'Add Blackman', 'id': 1604219274, 'id_str': '1604219274', 'indices': [0, 12]}], 'symbols': []}}",,,,,
801,2019-05-22 13:21:18+00:00,1.1311882878031421e+18,1.1311882878031421e+18,"@Amber_vanderWal Hoi Amber, we adviseren je om contact op te nemen met de Lost&amp;Found afdeling van het vliegveld van… https://t.co/1koHam4loM","[17, 140]","<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>",1.0,1.1311856772305756e+18,1.1311856772305756e+18,8.242071734252626e+17,8.242071734252626e+17,Amber_vanderWal,"{'id': 56377143, 'id_str': '56377143', 'name': 'Royal Dutch Airlines', 'screen_name': 'KLM', 'location': 'Amsterdam, the Netherlands', 'url': 'http://www.klm.com', 'description': ""Official global account of KLM. While we keep you updated, we're at your service in 10 languages. Share personal details only in direct messages!"", 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 2336092, 'friends_count': 65146, 'listed_count': 6762, 'favourites_count': 641, 'statuses_count': 1037614, 'created_at': 'Mon Jul 13 13:52:38 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '00A3DE', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'C2DEEA', 'profile_text_color': '003145', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/56377143/1513267634', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0.0,0.0,0.0,0.0,0.0,"{'hashtags': [], 'urls': [{'url': 'https://t.co/1koHam4loM', 'expanded_url': 'https://twitter.com/i/web/status/1131188287803142145', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}], 'user_mentions': [{'screen_name': 'Amber_vanderWal', 'name': 'Amber van der Wal', 'id': 824207173425262593, 'id_str': '824207173425262593', 'indices': [0, 16]}], 'symbols': []}",,0.0,0.0,,low,nl,2019-05-22 13:21:18.931,,"{'full_text': '@Amber_vanderWal Hoi Amber, we adviseren je om contact op te nemen met de Lost&amp;Found afdeling van het vliegveld van aankomst. We hopen dat je het snel terugvindt!', 'display_text_range': [17, 166], 'entities': {'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Amber_vanderWal', 'name': 'Amber van der Wal', 'id': 824207173425262593, 'id_str': '824207173425262593', 'indices': [0, 16]}], 'symbols': []}}",,,,,
804,2019-05-22 13:21:22+00:00,1.1311883038211809e+18,1.1311883038211809e+18,"@addblackman Keys, medicines or your laptop may always be taken from this baggage to be carried with you. On our we… https://t.co/shlYh92rOs","[13, 140]","<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>",1.0,1.1311824743804232e+18,1.1311824743804232e+18,1604219274.0,1604219274.0,addblackman,"{'id': 56377143, 'id_str': '56377143', 'name': 'Royal Dutch Airlines', 'screen_name': 'KLM', 'location': 'Amsterdam, the Netherlands', 'url': 'http://www.klm.com', 'description': ""Official global account of KLM. While we keep you updated, we're at your service in 10 languages. Share personal details only in direct messages!"", 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 2336092, 'friends_count': 65146, 'listed_count': 6762, 'favourites_count': 641, 'statuses_count': 1037615, 'created_at': 'Mon Jul 13 13:52:38 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '00A3DE', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'C2DEEA', 'profile_text_color': '003145', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/56377143/1513267634', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0.0,0.0,0.0,0.0,0.0,"{'hashtags': [], 'urls': [{'url': 'https://t.co/shlYh92rOs', 'expanded_url': 'https://twitter.com/i/web/status/1131188303821180928', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': 'addblackman', 'name': 'Add Blackman', 'id': 1604219274, 'id_str': '1604219274', 'indices': [0, 12]}], 'symbols': []}",,0.0,0.0,0.0,low,en,2019-05-22 13:21:22.750,,"{'full_text': '@addblackman Keys, medicines or your laptop may always be taken from this baggage to be carried with you. On our website you can find more information about the check in of hand luggage: https://t.co/chXrkC5PV4. Furthermore, please know that you cannot track your check-in baggage online.&lt;&lt;&lt;', 'display_text_range': [13, 300], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/chXrkC5PV4', 'expanded_url': 'http://klmf.ly/1i6sYL6', 'display_url': 'klmf.ly/1i6sYL6', 'indices': [187, 210]}], 'user_mentions': [{'screen_name': 'addblackman', 'name': 'Add Blackman', 'id': 1604219274, 'id_str': '1604219274', 'indices': [0, 12]}], 'symbols': []}}",,,,,
851,2019-05-22 13:25:11+00:00,1.1311892640777748e+18,1.1311892640777748e+18,"@camireyesb Lamentamos esto profundamente, y esperamos que tengas buen viaje.

Un cordial saludo.","[12, 97]","<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>",0.0,1.1311842397168312e+18,1.1311842397168312e+18,283779031.0,283779031.0,camireyesb,"{'id': 56377143, 'id_str': '56377143', 'name': 'Royal Dutch Airlines', 'screen_name': 'KLM', 'location': 'Amsterdam, the Netherlands', 'url': 'http://www.klm.com', 'description': ""Official global account of KLM. While we keep you updated, we're at your service in 10 languages. Share personal details only in direct messages!"", 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 2336091, 'friends_count': 65146, 'listed_count': 6762, 'favourites_count': 641, 'statuses_count': 1037616, 'created_at': 'Mon Jul 13 13:52:38 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '00A3DE', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'C2DEEA', 'profile_text_color': '003145', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/56377143/1513267634', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0.0,0.0,0.0,0.0,0.0,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'camireyesb', 'name': 'Camila Paz', 'id': 283779031, 'id_str': '283779031', 'indices': [0, 11]}], 'symbols': []}",,0.0,0.0,,low,es,2019-05-22 13:25:11.693,,,,,,,
1065,2019-05-22 13:45:57+00:00,1.1311944886034637e+18,1.1311944886034637e+18,"@Amber_vanderWal We gaan dit voor je navragen, kun je  een omschrijving van de jas geven.","[17, 89]","<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>",0.0,1.131191297312723e+18,1.131191297312723e+18,8.242071734252626e+17,8.242071734252626e+17,Amber_vanderWal,"{'id': 56377143, 'id_str': '56377143', 'name': 'Royal Dutch Airlines', 'screen_name': 'KLM', 'location': 'Amsterdam, the Netherlands', 'url': 'http://www.klm.com', 'description': ""Official global account of KLM. While we keep you updated, we're at your service in 10 languages. Share personal details only in direct messages!"", 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 2336093, 'friends_count': 65146, 'listed_count': 6762, 'favourites_count': 641, 'statuses_count': 1037617, 'created_at': 'Mon Jul 13 13:52:38 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '00A3DE', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'C2DEEA', 'profile_text_color': '003145', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/56377143/1513267634', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0.0,0.0,0.0,0.0,0.0,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Amber_vanderWal', 'name': 'Amber van der Wal', 'id': 824207173425262593, 'id_str': '824207173425262593', 'indices': [0, 16]}], 'symbols': []}",,0.0,0.0,,low,nl,2019-05-22 13:45:57.317,,,,,,,
1163,2019-05-22 13:56:59+00:00,1.1311972674934456e+18,1.1311972674934456e+18,"@stargirlTT Unfortunately, we cannot send a boarding pass for your past dated flights.","[12, 86]","<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>",0.0,1.1311917639122821e+18,1.1311917639122821e+18,4806232401.0,4806232401.0,stargirlTT,"{'id': 56377143, 'id_str': '56377143', 'name': 'Royal Dutch Airlines', 'screen_name': 'KLM', 'location': 'Amsterdam, the Netherlands', 'url': 'http://www.klm.com', 'description': ""Official global account of KLM. While we keep you updated, we're at your service in 10 languages. Share personal details only in direct messages!"", 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 2336094, 'friends_count': 65146, 'listed_count': 6762, 'favourites_count': 641, 'statuses_count': 1037618, 'created_at': 'Mon Jul 13 13:52:38 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '00A3DE', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'C2DEEA', 'profile_text_color': '003145', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/603848039862796289/xivNn5bW_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/56377143/1513267634', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,0.0,0.0,0.0,0.0,0.0,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'stargirlTT', 'name': 'StargirlTingTing', 'id': 4806232401, 'id_str': '4806232401', 'indices': [0, 11]}], 'symbols': []}",,0.0,0.0,,low,en,2019-05-22 13:56:59.856,,,,,,,
